,0,1,2
88,The Teochew Kitchenette - Queen Street,1.30037413,103.8538811
89,The Asian Kitchen - Raffles Quay,1.28217102,103.8521339
90,The Asian Kitchen - Raffles Quay,1.28217102,103.8521339
91,The Harvest - Oue Downtown Gallery,1.2778310800000001,103.84928275304355
92,The Salad Shop - UOB Plaza 2,1.28501646306785,103.850796282207
93,Tsui Wah - The Heeren,1.302467,103.837613
94,Addictude - The Heart,1.278051725,103.8525452
95,Huggs Coffee - The Central,1.288927777,103.8460019
96,Pita Tree - The Heart,1.2783163993471554,103.85253593131358
97,Mosanco Enchanted Cafe The Rainforest- North Canal Road,1.286980616,103.8469329
98,Mosanco Enchanted Cafe The Rainforest- North Canal Road,1.286980616,103.8469329
99,Decker Barbecue - The Quayside #01-17,1.2901215000000001,103.83875279879072
100,Super Loco - The Quayside #01-13,1.2900383216968834,103.83912871408324
101,The Glasshouse Chijmes (#01-03),1.2954805,103.85218843
102,The Naughty Chef - 1 Shenton Way,1.2798413269034192,103.85067755391346
103,Malaysia Chiak! - The Heart,1.2782743,103.8530224
104,The Alley - One Raffles Place,1.28495094565484,103.851051262433
105,Co Nut Ink - Esplanade Theatres On The Bay,1.2891794631220677,103.85536852111693
106,Marutama Ramen - The Central,1.2889102,103.8463845
107,4Fingers - The Venue Shoppes,1.32881882214792,103.869618943938
108,Tapas 24 Singapore - The Quayside,1.2901175464752441,103.83947167237176
109,Dal.komm Coffee - The Centrepoint,1.3013998,103.83985234
110,Volks Coffee Co. - The Sail @ Marina Bay,1.28131989,103.8530732
111,The Autobus - OUE Downtown Gallery,1.276401925,103.84819295
112,The Whale Tea - City Square Mall,1.311342,103.856466
113,Anglo Indian Cafe & Bar - The Heart,1.2767276,103.85236416666666
114,D.o.p Mozzarella Bar & Restaurant - The Quayside #01-04A,1.290087,103.839298
115,The Feather Blade - Tanjong Pagar Road,1.278359,103.843885
116,The Social Space - Marina One,1.2775061628535294,103.85390738419716
117,The Cheese Shop - UE Square,1.2928356,103.8427752
118,The Oyster Bank - Funan,1.2913241,103.8502878
119,The Whole Kitchen Bakery Cafe CBD - Robinson Road,1.27901405683428,103.84884548347
120,The Biryani Bar by Milind Sovani - Ascott Singapore Raffles Place,1.28218681778169,103.85181215708
121,Group Therapy - Capri by Fraser China Square,1.283873183801476,103.8468889
122,Mellower Coffee - The Prospex,1.2988321,103.854105
123,Sabai Fine Thai On The Bay - Customs House,1.2824371,103.8533105
124,Out of the Bun (OOTB) - 1  Selegie Road,1.3002002620884536,103.84923186167032
125,Hot Kitchen - The Quality Dining,1.287587658020642,103.84825924194568
126,The Voice.Taiwanese Cuisine - Marina Bay Financial Centre,1.279054,103.854836
127,Nando's - The Star Vista,1.306929,103.788295
128,Colonial Club - The Paragon,1.3036059182704065,103.8352071545541
129,The Banana Leaf Apolo - Race Course Road,1.30837,103.85106
130,The Book Cafe - Seng Kee Building,1.2911245386243309,103.83901434047306
131,The Blue Ginger Restaurant - Tanjong Pagar Road,1.27740361,103.84360970868488
132,Mun Ting Xiang Tavern - The Plaza,1.29941466,103.8607252
133,Tendon Kohaku - The Central,1.2891188,103.84683236000001
134,Sabai Fine Thai On The Bay - Customs House,1.2824371,103.8533105
135,Ange Bakes Keto Bakery & Cafe - The Adelphi [Islandwide Delivery],1.2912595572981616,103.85148536439601
136,The Original Katong Laksa 1950 - Chinatown Point,1.285462797,103.8448858
137,The Southbridge - South Bridge Road,1.283284745,103.84568499999999
138,365 Juices Bar - The Centrepoint,1.30137406,103.8398234
139,Ange Bakes Keto Bakery & Cafe - The Adelphi [Islandwide Delivery],1.2912595572981616,103.85148536439601
140,Xing Hua 兴化 - The Seletar Mall,1.392115075,103.87610279333333
141,The Southbridge - South Bridge Road,1.283284745,103.84568499999999
142,The Bettership - The Cathay,1.2993116,103.84772649067465
143,Swaad - The Art of Saatvik Food - Desker Road,1.308851,103.855468
144,The Coco Rice,1.285109,103.832564
145,Shake Shack - Gardens By The Bay,1.283828,103.865289
146,Awadh - The Centrepoint,1.3022851585563227,103.83970522414731
147,The Herbal Bar - Republic Plaza,1.283055,103.85118247992993
148,Boomarang - The Quayside,1.2896373588603824,103.8388270125
149,Swensen's - The Seletar Mall,1.391116434138565,103.87588052936631
150,The Coco Rice,1.285109,103.832564
151,The Original Cuban Sandwich Bros™ - Robinson Suites,1.28090311,103.849731
152,The Straits Wine Company - UE Square,1.29254110825464,103.842555242697
153,I’m Kim Korean BBQ - School Of The Arts (SOTA),1.29938635643322,103.848237081377
154,Arcade Fruits - The Arcade,1.2835804,103.85218859999999
155,tcc - The Connoisseur Concerto - The Pier@Robertson #01-01,1.2919094,103.84089452576553
156,Hack It Seafood - The Riverwalk,1.289282,103.848307
157,Honolulu Cafe - The Centrepoint,1.301641,103.839813
158,Monster Planet - The Centrepoint,1.3018884442669503,103.83970579748222
159,The Bravery Cafe - Amoy Street,1.28024549974472,103.846843609623
160,Ollie Kitchen & Bar - The Centrepoint,1.301655,103.840084
161,Pratunam by Soi Thai Soi Nice - The Centrepoint,1.30164880854183,103.840131091869
162,The Super Foodie Paradise™ - Robinson Suites,1.28090311,103.849731
163,Pratunam by Soi Thai Soi Nice - The Centrepoint,1.30164880854183,103.840131091869
164,The Dark Gallery - Millenia Walk,1.2924533,103.8597441
165,Home Of Briyani @ Heart Of The City - Hoe Chiang Road,1.27396,103.84252
166,The Westin Singapore,1.2783885,103.8513716
167,The Providore - Groceries - Wisma Atria,1.30368691666882,103.832847655171
168,Kanda Soba - The Central,1.2892045191924268,103.84689374999999
169,The Butter Chicken Place real Punjabi Taste - East Coast Road,1.3087241,103.9118668
170,The House of Robert Timms - Suntec City Mall,1.295069,103.8598283
171,The Butter Chicken Place real Punjabi Taste - East Coast Road,1.3087241,103.9118668
172,Kopifellas Plus - The Heart,1.278136,103.852652
173,The Dim Sum Place - North Bridge Road,1.30389727,103.86016675
174,The Original Boat Noodle - Thai Street Food (Suntec City Mall),1.295753,103.858898
175,Free The Robot - Telok Ayer Street,1.2820106,103.848149
176,The Handburger - Raffles Place MRT Station,1.28317754037895,103.851307840362
177,Old Seng Choong - The Central,1.2893338450941974,103.84675818934252
178,The Winery Tapas Bar - Victoria Street,1.2950572493695915,103.85212023951811
179,Free The Robot - Telok Ayer Street,1.2820106,103.848149
180,Coco.Cado - The Paragon,1.303796,103.836087
181,The Handburger - Raffles Place MRT Station,1.28317754037895,103.851307840362
182,Bob The Burger Builder™ - Robinson Suites,1.28090311,103.849731
183,The SaladBox - Lavender,1.3082221693660188,103.86230993681488
184,Hanjip Korean Grill House - The Cannery,1.290099,103.845901
