,0,1,2
92,Full of Luck – Scotts Road,1.31168531604027,103.836598105351
93,Well Smoocht - Sin Ming Centre,1.3536567167122775,103.8359181
94,International Cakes & Afternoon Treats @ Rasapura Masters - Marina Bay Sands,1.2833532,103.8599263
95,Nagara Charminar Authentic North Indian Cusisin Mughlai - Toa Payoh North 🏍,1.34319,103.85139
96,Viva Loca - Katong Square,1.304667034805803,103.90445484170391
97,Golden Pillow 933 - Enterprise One,1.333123,103.902307
98,Domino's Pizza - Kiliney,1.2986775,103.839404
99,Chicky Fun Chicken Rice - Singapore General Hospital,1.279884,103.834317
100,Boater's Bar - Sentosa Cove,1.24586788653505,103.839353995515
101,Tanyu - Bugis Junction,1.299240024153633,103.855533789287
102,PS.Cafe Petit - Tiong Bahru,1.2834193,103.83117167224297
103,TANGS Market - Orchard Road,1.30501,103.832898
104,Pasta E Formaggio - Oxley Tower,1.2789099,103.8484817
105,Na Xie Nian BBQ 那些年烤吧 - Income At Princep,1.299012,103.849424
106,Song Fa Bak Kut Teh - Harbourfront Centre,1.2650411613193882,103.82017905883492
107,Bali Thai - Suntec City Mall,1.2944095,103.85802657826088
108,Han's - Marina Square,1.291333,103.85818902
109,25 Degrees Burgers & Liquor Bar - Hotel G,1.300593,103.851633
110,Hoshino Coffee - Capitol Singapore,1.2928998,103.8514608
111,Tangmen - Orchard Plaza,1.3012286943727225,103.84109949706858
112,Chir Chir Fusion Chicken Factory - Somerset 313,1.301258999995775,103.83834431999999
113,Wursthans Switzerland - Paya Lebar Quarter Mall,1.3175649828198743,103.89357662097046
114,Gong Yuan Ma La Tang - Funan,1.2915614747726352,103.84985594470442
115,Swensen's - Parkway Parade,1.3013729915534182,103.90574172950579
116,D.o.p Mozzarella Bar & Restaurant - The Quayside #01-04A,1.290087,103.839298
117,Burrata Joy & Gustavo Lapasta - Village Hotel Katong,1.3030652000960998,103.90332465628546
118,Le Petit Empire Designer Cakes - Bukit Merah Lane 1 🏍,1.2867370804705724,103.80374096000818
119,Fong Sheng Hao - PLQ Mall,1.317405925,103.89277315139769
120,Salvo by Pasta Fresca - PLQ3,1.3158979183346429,103.8930187
121,Happy Geprek - Far East Plaza,1.30732164,103.8334828
122,Ginett Restaurant & Wine Bar - Hotel G,1.30113,103.851634
123,Tokyo Sundubu - Raffles City Shopping Centre,1.2933720333333334,103.8540289
124,Old Nyonya - Maxwell Food Centre,1.279888,103.845046
125,Old Seng Choong - The Central,1.2893338450941974,103.84675818934252
126,Tuk Tuk Cha - Newton Shell,1.31155,103.84305
127,Drips Bakery Cafe - Tiong Poh Road,1.2836213561730183,103.83402830472819
128,En Sushi - Midland House,1.298934094440661,103.85366970833333
129,Monga Fried Chicken - ION Orchard,1.3040215717774686,103.83173605768758
130,Escapade with Teafolia - Kampong Bahru Road,1.27691972202793,103.83630440245
131,Heng Heng Seafood - Havelock Road,1.2886045,103.82947698
132,Hanguk Kitchen - Tiong Bahru Estate,1.2832880556909,103.833499833171
133,Rockon Tokyo - Tanjong Pagar Road,1.2780568,103.8435296
134,Little Part 1 Cafe - Blair Road,1.2757997,103.83570738
135,Ban Deng Noodle by Chengdu Bowl - Chinatown Point,1.28537184521449,103.844720522825
136,WOK15 - Sentosa Cove,1.24586788653505,103.839353995515
137,Peace Japanese Cuisine - OUE Downtown Gallery,1.277845,103.849219
138,Hom Aroy Thai Food - Coronation Shopping Centre,1.324005480975332,103.8099422
139,Dessert Dailou - Syed Alwi Road,1.30779,103.85789
140,Rubato - Greenwood Ave,1.3311167,103.8070562
141,Aromas of India - Race Course Road,1.3084926281025275,103.8511276235341
142,HeBrews the PLATE - Concorde Shopping Centre,1.28890075779591,103.834611557545
143,Tandoor & Kebab Junction - Hoe Chiang Road 🏍,1.27396,103.84252
144,Al-Azhar - Geylang Serai,1.3159504437591674,103.89720287667757
145,Bones 'n Barrels - Far East Plaza,1.3076929,103.833499
146,Well Smoocht - Sin Ming Centre,1.3536567167122775,103.8359181
147,DaLong Yi Hotpot - Orchard Central,1.300581068669476,103.83992008090571
148,Sing Heng Cuisine - Atlantis Pods @ Bugis,1.297982075,103.8570667
149,Viva Loca - Katong Square,1.304667034805803,103.90445484170391
150,Mix and Match - Oxley Tower,1.278646,103.84842
151,Pasta Fresca Da Salvatore - Upper East Coast Road,1.312958957553707,103.92550076416777
152,Masizzim - Somerset 313,1.3012177626278998,103.8383723289981
153,31 Heng Heng BBQ - Newton Food Centre [Stall 31],1.3119710122601695,103.83959575
154,Stuff'd - Funan,1.29106578346931,103.85038604662
155,Bismillah Biryani - Shenton Way,1.2734491,103.8459211
156,Lucha Loco - Duxton,1.2788833,103.8427942
157,Shihlin Taiwan Street Snacks - 313 Somerset,1.3010411,103.838459
158,Ichiban Bento - Tanjong Pagar Centre,1.277232,103.845335
159,Co Nut Ink - Esplanade Theatres On The Bay,1.2891794631220677,103.85536852111693
160,Sushiro - Suntec City Mall,1.2948047308341444,103.85995256654218
161,Kurry Korner - River Valley,1.2952557188019476,103.82969132603027
162,Pezzo - Tiong Bahru,1.286519860743823,103.82720748543858
163,Souvlaki Bar By Fotia - Duxton Hill,1.2781818861158172,103.8426160458306
164,Brotzeit - Raffles City Shopping Centre,1.294878,103.85311948
165,Poke Theory - Tripleone Somerset,1.300260050327093,103.83734378251538
166,Han's - Tripleone Somerset,1.2998897623731125,103.83745723081023
167,KFC - Far East Plaza,1.3072212600475268,103.83323576681107
168,Chimi's - One Marina Boulevard,1.281771992682927,103.8525683
169,Pasta Express - SMU Connexion,1.2955566250000001,103.8494292
170,Napolizz Pizza Delivery - Anson,1.2739823989033918,103.844446760726
